aX,aY,aZ,gX,gY,gZ
0.436,-0.280,-0.946,44.922,-123.779,3.967
0.463,-0.259,-0.904,40.466,-120.483,3.723
0.490,-0.242,-0.891,43.640,-111.755,1.953
0.530,-0.234,-0.870,48.401,-107.727,0.061
0.538,-0.218,-0.853,45.471,-98.572,-0.916
0.520,-0.056,-0.925,40.161,-91.858,-2.197
0.527,0.002,-1.018,54.260,-81.909,-13.672
0.574,-0.016,-1.141,68.909,-84.839,-18.311
0.585,-0.035,-1.136,80.811,-105.835,-18.799
0.537,0.033,-0.981,73.303,-117.981,-20.203
0.522,0.084,-0.913,54.321,-132.141,-31.128
0.506,0.165,-0.792,55.054,-130.981,-37.231
0.505,0.172,-0.721,60.608,-127.625,-45.349
0.530,0.144,-0.561,56.030,-126.831,-65.918
0.573,0.131,-0.556,48.645,-127.502,-71.716
0.623,0.110,-0.595,57.617,-130.493,-68.115
0.655,0.059,-0.613,65.186,-137.146,-62.622
0.646,0.058,-0.600,62.134,-158.447,-53.284
0.571,0.112,-0.463,58.228,-168.335,-52.612
0.528,0.117,-0.322,56.213,-173.157,-62.561
0.510,0.070,-0.053,56.519,-164.246,-70.129
0.534,0.017,-0.010,44.678,-141.724,-84.106
0.599,-0.042,-0.068,32.227,-134.827,-87.708
0.627,-0.040,-0.120,26.001,-126.465,-86.182
0.661,-0.042,-0.245,35.217,-126.038,-84.045
0.657,-0.063,-0.266,46.082,-142.578,-80.811
0.608,-0.064,-0.141,45.044,-154.358,-79.346
0.568,-0.039,-0.018,49.316,-161.560,-79.224
0.504,0.001,0.192,45.654,-158.630,-80.627
0.482,0.038,0.222,33.569,-154.602,-83.191
0.477,0.050,0.230,16.418,-144.104,-98.389
0.495,-0.061,0.287,15.381,-140.259,-106.262
0.490,-0.095,0.332,4.456,-142.761,-110.962
0.507,-0.139,0.472,3.296,-144.592,-112.183
0.528,-0.185,0.537,20.569,-133.423,-110.596
0.529,-0.259,0.615,18.860,-126.770,-107.666
0.506,-0.224,0.646,-17.517,-124.207,-104.675
0.493,-0.166,0.644,-20.630,-119.995,-107.849
0.514,-0.275,0.631,11.719,-107.056,-117.310
0.514,-0.483,0.655,17.944,-102.478,-114.258
0.487,-0.472,0.631,5.859,-89.661,-100.647
0.416,-0.400,0.473,-0.427,-82.886,-98.511
0.419,-0.432,0.379,-4.639,-72.083,-103.943
0.532,-0.606,0.223,-10.132,-72.327,-105.469
0.564,-0.681,0.195,-21.057,-78.613,-102.905
0.576,-0.745,0.205,-42.603,-100.159,-89.355
0.579,-0.915,0.287,-46.692,-111.633,-80.322
0.549,-0.958,0.352,-47.485,-131.714,-55.542
0.446,-0.932,0.626,-46.143,-136.108,-45.044
0.425,-0.897,0.784,-59.998,-132.385,-32.959
0.427,-0.733,0.967,-74.219,-126.770,-31.372
0.436,-0.628,0.942,-64.026,-99.792,-37.109
0.493,-0.625,0.717,-42.358,-86.121,-43.213
0.519,-0.715,0.661,-26.917,-87.219,-49.438
0.506,-0.850,0.710,-31.128,-95.032,-46.570

0.496,-0.270,-1.845,-78.613,137.024,34.058
0.468,-0.155,-1.663,-54.138,64.819,46.936
0.367,-0.072,-1.312,-40.344,41.016,45.166
0.329,-0.057,-1.201,-24.536,17.700,38.757
0.324,-0.037,-0.956,-24.658,12.146,34.668
0.332,-0.025,-0.847,-32.104,7.202,30.396
0.329,0.025,-0.779,-32.959,7.263,27.344
0.329,0.027,-0.784,-30.090,7.996,21.484
0.394,-0.056,-0.872,-16.113,10.559,7.629
0.436,-0.146,-0.940,-7.263,8.728,4.272
0.460,-0.231,-0.999,4.883,-1.770,10.193
0.448,-0.297,-1.102,8.057,-6.775,17.334
0.459,-0.293,-1.140,7.202,-19.714,29.419
0.497,-0.252,-1.186,6.836,-28.809,34.790
0.488,-0.200,-1.173,15.076,-46.875,43.823
0.448,-0.089,-1.116,20.447,-54.016,44.189
0.441,-0.064,-1.105,27.405,-64.087,38.025
0.445,-0.052,-1.093,29.663,-68.542,34.058
0.445,-0.043,-1.084,31.982,-76.538,26.611
0.465,-0.057,-1.085,34.546,-77.820,22.217
0.490,-0.108,-1.094,37.903,-78.247,17.944
0.529,-0.164,-1.127,40.222,-80.505,15.930
0.628,-0.211,-1.247,40.649,-84.534,19.043
0.640,-0.181,-1.287,44.495,-103.027,28.870
0.613,-0.129,-1.273,47.119,-116.516,31.128
0.594,-0.107,-1.198,49.622,-143.616,30.640
0.565,-0.023,-0.988,50.781,-152.466,28.748
0.558,0.037,-0.879,50.415,-159.790,20.203
0.568,0.201,-0.694,48.157,-158.997,14.282
0.565,0.283,-0.648,44.983,-147.034,-3.418
0.565,0.352,-0.646,44.434,-138.916,-16.052
0.570,0.329,-0.663,43.518,-132.935,-29.602
0.595,0.260,-0.689,45.471,-132.629,-51.392
0.684,0.051,-0.718,51.208,-138.245,-53.772
0.705,-0.003,-0.679,65.063,-157.471,-39.917
0.644,0.031,-0.481,64.453,-170.044,-34.180
0.616,0.060,-0.385,58.655,-181.274,-38.269
0.610,0.055,-0.263,61.157,-177.490,-44.189
0.612,0.038,-0.204,56.274,-170.288,-59.082
0.615,0.019,-0.067,47.607,-166.504,-66.711
0.630,0.008,-0.035,41.321,-148.010,-75.317
0.668,-0.031,-0.134,42.725,-142.273,-76.233
0.670,-0.063,-0.165,49.072,-152.283,-74.219
