"Grycksbo","Falu kommun","1886","327"
"Molkom","Karlstads kommun","1884","252"
"Ingelstad","Växjö kommun","1881","207"
"Ultuna","Uppsala kommun","1879","124"
"Östra Ljungby","Klippans kommun","1876","225"
"Skepplanda","Ale kommun","1875","153"
"Lödöse","Lilla Edets kommun","1871","189"
"Stavsnäs","Värmdö kommun","1871","970"
"Krokom","Krokoms kommun","1870","161"
"Rosvik","Piteå kommun","1868","307"
"Teckomatorp","Svalövs kommun","1866","129"
"Fjälkinge","Kristianstads kommun","1860","187"
"Moheda","Alvesta kommun","1854","255"
"Stallarholmen","Strängnäs kommun","1845","208"
"Virserum","Hultsfreds kommun","1844","297"
"Trångfors","Bodens kommun","1839","272"
"Vislanda","Alvesta kommun","1831","249"
"Rosersberg","Sigtuna kommun","1829","312"
"Ljungbyholm","Kalmar kommun","1827","210"
"Haverdal","Halmstads kommun","1821","359"
"Bollstabruk","Kramfors kommun","1812","523"
"Östervåla","Heby kommun","1810","217"
"Bjästa","Örnsköldsviks kommun","1806","244"
"Mörbylånga","Mörbylånga kommun","1802","232"
"Vibble","Region Gotland","1802","360"
"Vittsjö","Hässleholms kommun","1796","326"
"Arninge","Täby kommun","1795","155"
"Stenstorp","Falköpings kommun","1794","172"
"Kaxholmen","Jönköpings kommun","1793","163"
"Åled","Halmstads kommun","1786","202"
"Braås","Växjö kommun","1779","153"
"Gullbrandstorp","Halmstads kommun","1776","144"
"Källby","Götene kommun","1771","223"
"Järbo","Sandvikens kommun","1770","244"
"Lenhovda","Uppvidinge kommun","1769","238"
"Hemse","Region Gotland","1766","229"
"Forsbacka","Gävle kommun","1759","186"
"Hillerstorp","Gnosjö kommun","1753","244"
"Lammhult","Växjö kommun","1751","190"
"Söderfors","Tierps kommun","1750","224"
"Hästveda","Hässleholms kommun","1747","292"
"Vännäsby","Vännäs kommun","1747","206"
"Bergeforsen","Timrå kommun","1741","282"
"Byske","Skellefteå kommun","1741","328"
"Marieholm","Eslövs kommun","1741","142"
"Halla Heberg","Kungsbacka kommun","1740","398"
"Övertorneå","Övertorneå kommun","1737","259"
"Antnäs","Luleå kommun","1732","295"
"Romme","Borlänge kommun","1725","446"
"Vansbro","Vansbro kommun","1724","273"
"Bräkne-Hoby","Ronneby kommun","1710","241"
"Arjeplog","Arjeplogs kommun","1701","223"
"Hasslö","Karlskrona kommun","1678","363"
"Åsele","Åsele kommun","1678","227"
"Kode","Kungälvs kommun","1665","164"
"Rinkabyholm","Kalmar kommun","1663","132"
"Bredsand","Enköpings kommun","1653","229"
"Asmundtorp","Landskrona kommun","1646","118"
"Trönninge","Halmstads kommun","1645","144"
"Pålsboda","Hallsbergs kommun","1643","157"
"Lagan","Ljungby kommun","1642","242"
"Barkarö","Västerås kommun","1641","157"
"Sandarne","Söderhamns kommun","1641","301"
"Burträsk","Skellefteå kommun","1636","192"
"Rydaholm","Värnamo kommun","1629","168"
"Rönnäng","Tjörns kommun","1628","252"
"Kimstad","Norrköpings kommun","1627","176"
"Järna","Vansbro kommun","1624","588"
"Slottsskogen","Håbo kommun","1624","166"
"Hälleforsnäs","Flens kommun","1615","216"
"Lilla Edet västra","Lilla Edets kommun","1615","140"
"Ersmark","Umeå kommun","1605","147"
"Boliden","Skellefteå kommun","1602","146"
"Harplinge","Halmstads kommun","1602","147"
"Hölö","Södertälje kommun","1602","168"
"Öregrund","Östhammars kommun","1597","419"
"Floby","Falköpings kommun","1593","223"
"Mariannelund","Eksjö kommun","1591","225"
"Norrfjärden","Piteå kommun","1591","250"
"Järpen","Åre kommun","1589","234"
"Jämshög","Olofströms kommun","1584","255"
"Trekanten","Kalmar kommun","1579","271"
"Rävlanda","Härryda kommun","1568","164"
"Gullspång","Gullspångs kommun","1567","300"
"Enbacka","Säters kommun","1566","207"
"Donsö","Göteborgs kommun","1551","105"
"Färlöv","Kristianstads kommun","1550","199"
"Glimåkra","Östra Göinge kommun","1550","208"
"Långsele","Sollefteå kommun","1550","244"
"Jörlanda","Stenungsunds kommun","1547","343"
"Kågeröd","Svalövs kommun","1544","180"
"Garphyttan","Örebro kommun","1543","150"
"Klintehamn","Region Gotland","1541","291"
"Bredaryd","Värnamo kommun","1537","223"
"Ekenässjön","Vetlanda kommun","1537","199"
"Brålanda","Vänersborgs kommun","1532","183"
"Älmsta","Norrtälje kommun","1532","246"
"Bergby","Gävle kommun","1525","467"
"Blentarp","Sjöbo kommun","1523","254"
"Hällevik","Sölvesborgs kommun","1523","343"
"Sollebrunn","Alingsås kommun","1523","192"
"Husum","Örnsköldsviks kommun","1522","396"
"Sörforsa","Hudiksvalls kommun","1522","223"
"Djurö","Värmdö kommun","1521","643"
"Beddingestrand","Trelleborgs kommun","1520","386"
"Veinge","Laholms kommun","1519","205"
"Järvsö","Ljusdals kommun","1513","345"
"Landsbro","Vetlanda kommun","1510","211"
"Vrigstad","Sävsjö kommun","1509","215"
"Gantofta","Helsingborgs kommun","1506","105"
"Angered","Göteborgs kommun","1491","237"
"Kallfors","Södertälje kommun","1491","142"
"Älvkarleby","Älvkarleby kommun","1490","255"
"Nolvik","Göteborgs kommun","1489","187"
"Limmared","Tranemo kommun","1484","146"
"Hanaskog","Östra Göinge kommun","1483","144"
"Valla","Katrineholms kommun","1475","131"
"Bohus-Björkö","Öckerö kommun","1473","103"
"Bräcke","Bräcke kommun","1467","203"
"Morgongåva","Heby kommun","1464","149"
"Ås","Krokoms kommun","1462","279"
"Forsheda","Värnamo kommun","1460","171"
"Åsbro","Askersunds kommun","1453","348"
"Stöpen","Skövde kommun","1452","114"
"Ryd","Tingsryds kommun","1450","227"
"Sjörröd","Hässleholms kommun","1450","183"
"Ödsmål","Stenungsunds kommun","1447","347"
"Lövstalöt","Uppsala kommun","1445","94"
"Långshyttan","Hedemora kommun","1438","278"
"Önnestad","Kristianstads kommun","1438","218"
"Fellingsbro","Lindesbergs kommun","1432","214"
"Målilla","Hultsfreds kommun","1429","323"
"Örsundsbro","Enköpings kommun","1422","138"
"Sibbhult","Östra Göinge kommun","1408","158"
"Kurveröd","Uddevalla kommun","1405","67"
"Rydsgård","Skurups kommun","1400","155"
"Oskar-Fredriksborg","Vaxholms kommun","1390","182"
"Timmernabben","Mönsterås kommun","1383","195"
"Diseröd","Kungälvs kommun","1381","122"
